19:38:44 : INFO : adding document #1440000 to Dictionary(4992259 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:39:06 : INFO : adding document #1450000 to Dictionary(5009821 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:39:29 : INFO : adding document #1460000 to Dictionary(5025613 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:39:52 : INFO : adding document #1470000 to Dictionary(5041171 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:40:20 : INFO : adding document #1480000 to Dictionary(5058399 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:40:43 : INFO : adding document #1490000 to Dictionary(5073443 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:41:07 : INFO : adding document #1500000 to Dictionary(5089212 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:41:30 : INFO : adding document #1510000 to Dictionary(5104450 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:41:52 : INFO : adding document #1520000 to Dictionary(5119590 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:42:12 : INFO : adding document #1530000 to Dictionary(5133836 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:42:35 : INFO : adding document #1540000 to Dictionary(5150842 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:42:59 : INFO : adding document #1550000 to Dictionary(5166903 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:43:21 : INFO : adding document #1560000 to Dictionary(5180417 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:43:44 : INFO : adding document #1570000 to Dictionary(5196956 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:44:04 : INFO : adding document #1580000 to Dictionary(5211114 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:44:29 : INFO : adding document #1590000 to Dictionary(5226388 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:44:46 : INFO : adding document #1600000 to Dictionary(5238445 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:45:06 : INFO : adding document #1610000 to Dictionary(5248420 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:45:28 : INFO : adding document #1620000 to Dictionary(5262440 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:45:49 : INFO : adding document #1630000 to Dictionary(5278061 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:46:11 : INFO : adding document #1640000 to Dictionary(5294919 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:46:32 : INFO : adding document #1650000 to Dictionary(5310026 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
